name	latitude	longitude
Station 1	42.385	-72.531
Station 2	42.376	-72.52
Station 3	42.318	-72.627
Station 4	42.097	-72.582
Station 5	42.394	-72.526
Station 6	42.202	-72.62
Station 7	42.387	-72.527
Station 8	42.328	-72.636
Station 9	42.38	-72.52
Station 10	42.368	-72.533
Station 11	42.204	-72.612
Station 12	42.115	-72.594
Station 13	42.335	-72.668
Station 14	42.116	-72.613
Station 15	42.318	-72.633
Station 16	42.101	-72.589
Station 17	42.319	-72.63
Station 18	42.111	-72.566
Station 19	42.325	-72.65
Station 20	42.404	-72.529
Station 21	42.198	-72.604
Station 22	42.32	-72.638
Station 23	42.205	-72.603
Station 24	42.199	-72.631
Station 25	42.208	-72.608
Station 26	42.32	-72.628
Station 27	42.337	-72.643
Station 28	42.329	-72.644
Station 29	42.109	-72.578
Station 30	42.336	-72.674
Station 31	42.211	-72.621
Station 32	42.106	-72.595
Station 33	42.267	-72.67
Station 34	42.391	-72.525
Station 35	42.312	-72.647
Station 36	42.099	-72.586
Station 37	42.317	-72.633
Station 38	42.095	-72.585
Station 39	42.274	-72.659
Station 40	42.317	-72.636
Station 41	42.39	-72.519
Station 42	42.215	-72.594
Station 43	42.351	-72.526
Station 44	42.259	-72.575
Station 45	42.39	-72.52
Station 46	42.107	-72.595
Station 47	42.32	-72.63
Station 48	42.352	-72.526
Station 49	42.189	-72.622
Station 50	42.32	-72.629
Station 51	42.104	-72.591
Station 52	42.119	-72.604
Station 53	42.321	-72.628
Station 54	42.265	-72.669
Station 55	42.312	-72.648
Station 56	42.391	-72.526
